articles/one.txt,search,google/pegasus-xsum,"The world has come a long way in the last three decades in the fight against polio, one of the world’s most deadly and disabling diseases, but there is still work to be done to wipe out the remaining wild poliovirus.<n> The world has come a long way in the last three decades in the fight against polio, one of the world’s most deadly and disabling diseases, but there is still work to be done to wipe out the remaining wild poliovirus, one of the world’s largest killers.",0.17,0.174,0.172,0.106,0.109,0.108
articles/one.txt,search,google/pegasus-cnn_dailymail,"October 24 is World Polio Day and to mark the occasion I'd like to share the story of one of these dedicated polio fighters.<n>Shumaila Rehmani is a polio vaccinator in Pakistan, which is one of the two countries in the world where the wild poliovirus is still endemic.<n>Shumaila’s job is to deliver the polio vaccine to every child under age five in the community she serves.",0.202,0.264,0.229,0.096,0.125,0.108
articles/one.txt,search,google/pegasus-large,"Nigeria has accounted for more than half of the wild polio region’s polio cases since the start of the global eradication effort in 1988, but Nigeria has also used its polio laboratory to help contain the polio pandemic in Africa and Asia. And thanks to the thousands of dedicated health workers like Shumaila and the leadership of Prime Minister of Pakistan Imran Khan, there’s been just one case of wild polio in Pakistan so far this year, compared with 84 in 2020. While the incredible efforts of Shumaila and other polio fighters have brought us to the brink of a polio-free world, COVID-19 has created new challenges.",0.372,0.315,0.341,0.234,0.198,0.215
articles/one.txt,search,facebook/bart-large-cnn,"Since the start of the global eradication effort in 1988, the number of polio cases worldwide has fallen 99.9 percent. Much of the credit for this progress goes to the thousands of polio workers who have gone door to door vaccinating more than 3 billion children over the last 33 years. October 24 is World Polio Day and to mark the occasion I’d like to share the story of one of these dedicated polio fighters.",0.223,0.273,0.246,0.117,0.143,0.129
articles/one.txt,search,facebook/bart-large-xsum,"It’s been 33 years since polio was eradicated from the world, but the disease is still endemic in some parts of the world and is threatening to re-emerge in some other countries, as the Global Polio Eradication Initiative (GPEI) announced last week in a new pandemic called COVID-19.",0.202,0.373,0.262,0.149,0.275,0.193
articles/one.txt,search,sshleifer/distilbart-cnn-12-6," October 24 is World Polio Day and to mark the occasion I’d like to share the story of one of these dedicated polio fighters. Since the start of the global eradication effort in 1988, the number of polio cases worldwide has fallen 99.9 percent. Shumaila Rehmani is a polio vaccinator in Pakistan, one of the two countries in the world where the wild poliovirus is still endemic.",0.202,0.275,0.233,0.117,0.159,0.135
articles/one.txt,search,sshleifer/distilbart-xsum-12-6," The World Polio Eradication Initiative (COVID) is working to bring the disease to an end across the world, but it’s still a long way from where it first started, when the last wild polio case in Pakistan was recorded in 2010.   the country was declared free, and the world was",0.16,0.294,0.207,0.096,0.176,0.124
articles/one.txt,sampling,google/pegasus-xsum,"The world has come a long way in the last three decades in the fight against polio, one of the world’s most deadly and disabling diseases, and one of the greatest public health challenges of our time, thanks to the efforts of dedicated health workers like Shumaila Rehmani, a polio vaccinator in Pakistan.",0.17,0.296,0.216,0.117,0.204,0.149
articles/one.txt,sampling,google/pegasus-cnn_dailymail,October 24 is World Polio Day and to mark the occasion I'd like to share the story of one of these dedicated polio fighters.<n>Shumaila Rehmani is a polio vaccinator in Pakistan.<n>Her job is to deliver the polio vaccine to every child under age five in the community she serves.,0.181,0.315,0.23,0.096,0.167,0.122
articles/one.txt,sampling,google/pegasus-large,"Nigeria has accounted for more than half of the wild polio cases in the African region since the start of its polio eradication campaign in November, but Shumaila has used her relationships to raise awareness of the polio eradication program and teach families how to stay safe during the next polio outbreak. And thanks to the thousands of dedicated health workers like Shumaila and the leadership of Prime Minister of Pakistan Imran Khan, there’s been just one case of wild polio in Pakistan so far this year, compared with 84 in 2020. While the incredible efforts of Shumaila and other polio fighters have brought us to the brink of a polio-free world",0.362,0.298,0.327,0.213,0.175,0.192
